RPMI	Sera	Contrib.RPMI	Contrib.Sera	Contrib	GroupContrib	color	importance
HMDB0000273	-0.936441679506238	0.973458751871459	FALSE	TRUE	FALSE	Sera	#F68B33	-0.425276881173932
HMDB0000673	-0.920998335206989	0.941487360857373	FALSE	TRUE	FALSE	Sera	#F68B33	-0.400089652197608
HMDB0000067	-0.92621433161225	0.930067815990353	FALSE	TRUE	FALSE	Sera	#F68B33	-0.385771672757005
HMDB0003229	-0.878381313470047	0.933139263510301	FALSE	TRUE	FALSE	Sera	#F68B33	-0.36444034330789
HMDB0000207	-1.01912554155198	0.932837719389295	FALSE	TRUE	FALSE	Sera	#F68B33	-0.354906646347294
HMDB0001043	-0.931322117559645	0.909032134932435	FALSE	TRUE	FALSE	Sera	#F68B33	-0.340240904069277
HMDB0000573	-0.851667113104804	0.919992402193809	FALSE	TRUE	FALSE	Sera	#F68B33	-0.277825539468286
HMDB0000355	-0.872951519019074	0.868332327972163	FALSE	TRUE	FALSE	Sera	#F68B33	-0.213611015405739
HMDB0000646	0.9306718059327	-0.914071883085835	TRUE	FALSE	FALSE	RPMI	#388ECC	0.0930864258183664
HMDB0000765	0.689974898089576	-1.00557312552979	TRUE	FALSE	FALSE	RPMI	#388ECC	0.0650147508858073
