RPMI	Sera	Contrib.RPMI	Contrib.Sera	Contrib	GroupContrib	color	importance
HMDB0004825	0.794869558737668	-0.484389378577786	FALSE	TRUE	FALSE	Sera	#F68B33	-0.207302846845045
HMDB0000187	0.200710793395084	0.0325430734342152	FALSE	TRUE	FALSE	Sera	#F68B33	-0.205838516273428
HMDB0000132	-0.459601357013646	0.178024945789721	TRUE	FALSE	FALSE	RPMI	#388ECC	0.195915753027192
HMDB0013674	0.0640609527987309	-0.567626563862167	FALSE	TRUE	FALSE	Sera	#F68B33	-0.189061783965767
HMDB0000296	0.886309391199557	-0.841685453190638	FALSE	TRUE	FALSE	Sera	#F68B33	0.18639340217577
HMDB0000807	-0.128416063605131	0.186677905975141	TRUE	FALSE	FALSE	RPMI	#388ECC	0.183442782751795
HMDB0000126	-0.325153242957193	0.159062169837333	TRUE	FALSE	FALSE	RPMI	#388ECC	0.181536033741974
HMDB0001473	-0.224510471163183	0.120819798593118	TRUE	FALSE	FALSE	RPMI	#388ECC	0.177914412607599
HMDB0001431	-0.27186921562076	0.146539043591215	TRUE	FALSE	FALSE	RPMI	#388ECC	0.174140916071354
HMDB0000362	0.0164315591913801	0.0589700463816697	TRUE	FALSE	FALSE	RPMI	#388ECC	0.171613825586609
HMDB0000133	-0.124726542079685	-0.0621483090913856	TRUE	FALSE	FALSE	RPMI	#388ECC	0.164672157778475
HMDB0042032	0.190821426208124	-0.531872706208862	FALSE	TRUE	FALSE	Sera	#F68B33	0.156007191694123
HMDB0001514	0.209874251468561	-0.273651746541395	FALSE	TRUE	FALSE	Sera	#F68B33	-0.153378797154624
HMDB0003424	0.344899208926937	0.434850609121566	TRUE	FALSE	FALSE	RPMI	#388ECC	-0.150350389670966
HMDB0000426	0.165450552580129	-0.123461076293566	FALSE	TRUE	FALSE	Sera	#F68B33	-0.148865735482422
HMDB0000263	-0.506644972584956	0.643505931091832	TRUE	FALSE	FALSE	RPMI	#388ECC	0.14616740469514
HMDB0000008	-0.351852587289708	0.328007775003971	TRUE	FALSE	FALSE	RPMI	#388ECC	0.145250354258279
HMDB0000056	-0.210684501701827	0.0511908290342453	TRUE	FALSE	FALSE	RPMI	#388ECC	0.141654881947163
HMDB0000123	-0.150393379605894	-0.171283828715844	FALSE	TRUE	FALSE	Sera	#F68B33	-0.135252522938109
HMDB0001406	-0.392084196116886	0.613268215733733	TRUE	FALSE	FALSE	RPMI	#388ECC	0.133361953827489
HMDB0000211	-0.656337174548221	0.377981714706278	TRUE	FALSE	FALSE	RPMI	#388ECC	-0.133266954608904
HMDB0000176	0.615503872628978	-0.821832703187825	FALSE	TRUE	FALSE	Sera	#F68B33	0.130520430530383
HMDB0000060	0.097125796107129	0.088995763441742	FALSE	TRUE	FALSE	Sera	#F68B33	0.129949253704871
HMDB0000448	0.690797655512299	-1.1097262521715	FALSE	TRUE	FALSE	Sera	#F68B33	-0.127683163261503
HMDB0000163	0.752905989653869	-1.14276476450873	FALSE	TRUE	FALSE	Sera	#F68B33	-0.127069164513586
HMDB0000143	0.706713935051967	-0.872220937572519	FALSE	TRUE	FALSE	Sera	#F68B33	-0.120722388580259
HMDB0000094	0.843717178456995	-0.311961677530513	FALSE	TRUE	FALSE	Sera	#F68B33	0.120663876974257
HMDB0000357	0.73700102582393	-0.569245191573092	FALSE	TRUE	FALSE	Sera	#F68B33	-0.118680963813343
HMDB0031075	0.631109910589589	-0.615772327457156	FALSE	TRUE	FALSE	Sera	#F68B33	0.114271021481571
HMDB0000050	-0.669953359401755	0.673582280656422	TRUE	FALSE	FALSE	RPMI	#388ECC	0.111471818236192
