RPMI	Sera	Contrib.RPMI	Contrib.Sera	Contrib	GroupContrib	color	importance
WP_000791580.1	-0.917069834249005	0.951066314388854	TRUE	FALSE	FALSE	RPMI	#388ECC	-0.497266575599127
WP_001229084.1	-0.93359648365253	0.943769314305065	TRUE	FALSE	FALSE	RPMI	#388ECC	-0.437513663532729
WP_001126603.1	0.923300480723902	-0.988574473303954	FALSE	TRUE	FALSE	Sera	#F68B33	0.368496587820059
WP_001051130.1	0.968486545000977	-0.894214038497829	FALSE	TRUE	FALSE	Sera	#F68B33	0.318329788808403
WP_001165363.1	0.955243537989082	-1.00217907293531	FALSE	TRUE	FALSE	Sera	#F68B33	0.306523413429669
WP_001041586.1	-0.897409162567263	0.943437499981857	TRUE	FALSE	FALSE	RPMI	#388ECC	-0.289839144514648
WP_000608831.1	-0.931089937407686	0.967748259146968	TRUE	FALSE	FALSE	RPMI	#388ECC	-0.284220960932577
WP_001214662.1	-0.923840807318093	0.93931958628266	TRUE	FALSE	FALSE	RPMI	#388ECC	-0.236210125709003
WP_000754443.1	-0.932936646442903	0.845936015197271	TRUE	FALSE	FALSE	RPMI	#388ECC	-0.0921628991958418
WP_000160859.1	-0.954786497151502	0.852816065890285	TRUE	FALSE	FALSE	RPMI	#388ECC	-0.0339123363043328
