RPMI	Sera	Contrib.RPMI	Contrib.Sera	Contrib	GroupContrib	color	importance
WP_000942211.1	-0.17502188946469	0.584746463826624	TRUE	FALSE	FALSE	RPMI	#388ECC	-0.0755691626372214
WP_000055860.1	0.0222350271958293	0.458317338731493	TRUE	FALSE	FALSE	RPMI	#388ECC	-0.0737501997256824
WP_000257598.1	0.18652658433365	0.0378978519457244	FALSE	TRUE	FALSE	Sera	#F68B33	-0.0735647120320593
WP_001118443.1	-0.447592640946103	0.238131814549995	TRUE	FALSE	FALSE	RPMI	#388ECC	0.072683637971025
WP_001009697.1	0.153452192929784	0.148328860511022	FALSE	TRUE	FALSE	Sera	#F68B33	-0.0726703363332253
WP_000273252.1	0.0535914867004259	0.163922086468025	TRUE	FALSE	FALSE	RPMI	#388ECC	-0.072547523281221
WP_001049165.1	0.0239237734569729	-0.0312318534326844	FALSE	TRUE	FALSE	Sera	#F68B33	-0.0723816468087434
WP_000421701.1	0.327703671600303	-0.248487252069564	FALSE	TRUE	FALSE	Sera	#F68B33	-0.0700017889964692
WP_001270834.1	0.0651829624750663	-0.514954527061988	FALSE	TRUE	FALSE	Sera	#F68B33	-0.0698222732577573
WP_000175752.1	0.190428886267166	0.379282660871928	TRUE	FALSE	FALSE	RPMI	#388ECC	-0.069635815783222
WP_001255460.1	-0.204132723286431	0.19189564358216	TRUE	FALSE	FALSE	RPMI	#388ECC	0.066918842095963
WP_000258650.1	-0.131296271969507	0.215814597830745	TRUE	FALSE	FALSE	RPMI	#388ECC	-0.0668526600472849
WP_000211366.1	0.295995669786679	0.0782737728855242	FALSE	TRUE	FALSE	Sera	#F68B33	-0.0666778343787586
WP_000433551.1	0.493386163478705	0.0968921400146096	FALSE	TRUE	FALSE	Sera	#F68B33	0.0662896417637131
WP_000162881.1	-0.111071806537499	-0.116138546332588	FALSE	TRUE	FALSE	Sera	#F68B33	0.0652773787905555
WP_000066517.1	0.392624251274761	-0.140210142362962	FALSE	TRUE	FALSE	Sera	#F68B33	-0.0647118552882631
WP_000081240.1	0.423258828699548	-0.658711063061077	FALSE	TRUE	FALSE	Sera	#F68B33	0.0645440381460354
