RPMI	Sera	Contrib.RPMI	Contrib.Sera	Contrib	GroupContrib	color	importance
EW032_RS04295	-0.946327418151616	0.951321410259555	TRUE	FALSE	FALSE	RPMI	#388ECC	0.0346714184081312
EW032_RS00675	-0.951957262632615	0.882337502266799	TRUE	FALSE	FALSE	RPMI	#388ECC	0.034671051645046
EW032_RS04130	0.967889359499563	-1.00114047499579	FALSE	TRUE	FALSE	Sera	#F68B33	-0.034659720214985
EW032_RS05520	-0.99913346556135	0.948657194345813	TRUE	FALSE	FALSE	RPMI	#388ECC	0.0346512111841798
EW032_RS04145	0.923204573948388	-0.989199463028394	FALSE	TRUE	FALSE	Sera	#F68B33	-0.0346196693173782
EW032_RS04140	0.905732573088453	-0.972707587922419	FALSE	TRUE	FALSE	Sera	#F68B33	-0.0346104970989839
EW032_RS11000	-0.953842104237355	0.880843889732317	TRUE	FALSE	FALSE	RPMI	#388ECC	0.0345879804261698
EW032_RS04135	0.92727623205825	-0.961844173261351	FALSE	TRUE	FALSE	Sera	#F68B33	-0.0345663481002688
EW032_RS07090	-0.930008409027175	0.941966344882546	TRUE	FALSE	FALSE	RPMI	#388ECC	0.0345013377646353
EW032_RS08710	-1.03941155557985	0.926370327754638	TRUE	FALSE	FALSE	RPMI	#388ECC	0.0344887571038825
EW032_RS00680	-0.952492989636692	0.940699784357866	TRUE	FALSE	FALSE	RPMI	#388ECC	0.0344700410766583
EW032_RS11005	-0.962940423013063	0.96496147609206	TRUE	FALSE	FALSE	RPMI	#388ECC	0.0343545201542323
EW032_RS11020	-0.989810152699064	0.955134872360771	TRUE	FALSE	FALSE	RPMI	#388ECC	0.034341843050417
EW032_RS11025	-1.04627117181383	0.96518955011227	TRUE	FALSE	FALSE	RPMI	#388ECC	0.0343320568174743
EW032_RS05495	-0.997881075984688	0.881212890052995	TRUE	FALSE	FALSE	RPMI	#388ECC	0.0343246513427995
EW032_RS03925	-0.975364946834514	0.949920058957285	TRUE	FALSE	FALSE	RPMI	#388ECC	0.0342904872858479
EW032_RS04550	0.828358907151324	-0.894791528879389	FALSE	TRUE	FALSE	Sera	#F68B33	-0.0342403339270879
EW032_RS05880	0.924315768568941	-0.883058361982863	FALSE	TRUE	FALSE	Sera	#F68B33	-0.034230294185409
EW032_RS01910	-0.91301113134221	0.987534529643141	TRUE	FALSE	FALSE	RPMI	#388ECC	0.0342103967005658
EW032_RS05525	-1.04150380538474	0.982304012787287	TRUE	FALSE	FALSE	RPMI	#388ECC	0.0341792389426921
EW032_RS05505	-0.973537043473576	0.934892090744444	TRUE	FALSE	FALSE	RPMI	#388ECC	0.0341691901718975
