Metabolomics_GC_MS_HMDB0000067_Metabolomics_GC	Metabolomics_GC_MS_HMDB0000207_Metabolomics_GC	Metabolomics_GC_MS_HMDB0000273_Metabolomics_GC	Metabolomics_GC_MS_HMDB0000673_Metabolomics_GC	Metabolomics_GC_MS_HMDB0003229_Metabolomics_GC	Proteomics_MS1_DDA_WP_000514408.1_Proteomics_MS1	Proteomics_MS1_DDA_WP_000791581.1_Proteomics_MS1	Proteomics_MS1_DDA_WP_001126606.1_Proteomics_MS1	Proteomics_MS1_DDA_WP_020808056.1_Proteomics_MS1	Proteomics_MS1_DDA_WP_129622244.1_Proteomics_MS1	RNA_Seq_EW030_RS00705_RNA	RNA_Seq_EW030_RS00740_RNA	RNA_Seq_EW030_RS06895_RNA	RNA_Seq_EW030_RS07575_RNA	RNA_Seq_EW030_RS10880_RNA
Metabolomics_GC_MS_HMDB0000067_Metabolomics_GC	0.976579616810774	0.974641639318598	0.9804686968169	0.982301028353339	0.966752282011149	-0.972581841128149	0.98008250608062	-0.983386405275019	0.982614977150322	-0.975039144512489	0.972704456917362	0.982576366547311	-0.970909754686454	0.974218624563808	0.946203796007475
Metabolomics_GC_MS_HMDB0000207_Metabolomics_GC	0.974641639318598	0.972707507653935	0.978523001623691	0.980351696982173	0.964833806414487	-0.970651797038593	0.978137577265227	-0.981434920023095	0.980665022762156	-0.973104224016987	0.970774169502392	0.980626488780118	-0.968983028775809	0.972285332352539	0.944326097939535
Metabolomics_GC_MS_HMDB0000273_Metabolomics_GC	0.9804686968169	0.978523001623691	0.984373264493498	0.986212893011995	0.970602226148959	-0.97645500059978	0.983985535811262	-0.987302592282424	0.986528092062381	-0.978922089821646	0.976578104687752	0.986489327698508	-0.974776255327779	0.978098302276886	0.949971908920573
Metabolomics_GC_MS_HMDB0000673_Metabolomics_GC	0.982301028353339	0.980351696982173	0.986212893011995	0.988055959487626	0.972416118906662	-0.978279831211223	0.985824439729888	-0.989147695223212	0.988371747592167	-0.980751531009029	0.978403165360086	0.9883329107842	-0.97659794864589	0.979926203943525	0.951747247075781
Metabolomics_GC_MS_HMDB0003229_Metabolomics_GC	0.966752282011149	0.964833806414487	0.970602226148959	0.972416118906662	0.957023839823657	-0.962794736003002	0.97021992165564	-0.973490573664691	0.972726908432363	-0.965227311507867	0.962916117907756	0.972688686368408	-0.961139475791338	0.964415048463289	0.93668213353165
Proteomics_MS1_DDA_WP_000514408.1_Proteomics_MS1	-0.972581841128149	-0.970651797038593	-0.97645500059978	-0.978279831211223	-0.962794736003002	0.968600430942134	-0.976070390793418	0.979360764979073	-0.97859249481154	0.97104767498513	-0.968722544785155	-0.978554042266846	0.966935189438016	-0.970230513958386	-0.942330368320299
Proteomics_MS1_DDA_WP_000791581.1_Proteomics_MS1	0.98008250608062	0.978137577265227	0.983985535811262	0.985824439729888	0.97021992165564	-0.976070390793418	0.983597959849073	-0.986913709785427	0.986139514628474	-0.978536508268806	0.976193446392684	0.986100765533256	-0.974392306751984	0.977713045200614	0.949597730375003
Proteomics_MS1_DDA_WP_001126606.1_Proteomics_MS1	-0.983386405275019	-0.981434920023095	-0.987302592282424	-0.989147695223212	-0.973490573664691	0.979360764979073	-0.986913709785427	0.99024063725375	-0.989463832252482	0.981835195839803	-0.97948423540392	-0.989424952532441	0.977677024046022	-0.981008956843104	-0.952798864113157
Proteomics_MS1_DDA_WP_020808056.1_Proteomics_MS1	0.982614977150322	0.980665022762156	0.986528092062381	0.988371747592167	0.972726908432363	-0.97859249481154	0.986139514628474	-0.989463832252482	0.988687636624318	-0.98106498457816	0.978715868378674	0.988648787403894	-0.976910074707315	0.980239393733599	0.952051430716667
Proteomics_MS1_DDA_WP_129622244.1_Proteomics_MS1	-0.975039144512489	-0.973104224016987	-0.978922089821646	-0.980751531009029	-0.965227311507867	0.97104767498513	-0.978536508268806	0.981835195839803	-0.98106498457816	0.973501102179831	-0.971170097358237	-0.981026434880132	0.969378226119317	-0.972681876532433	-0.944711239014485
RNA_Seq_EW030_RS00705_RNA	0.972704456917362	0.970774169502392	0.976578104687752	0.978403165360086	0.962916117907756	-0.968722544785155	0.976193446392684	-0.97948423540392	0.978715868378674	-0.971170097358237	0.968844674023368	0.978677410986173	-0.967057093339937	0.970352833309989	0.942449170231794
RNA_Seq_EW030_RS00740_RNA	0.982576366547311	0.980626488780118	0.986489327698508	0.9883329107842	0.972688686368408	-0.978554042266846	0.986100765533256	-0.989424952532441	0.988648787403894	-0.981026434880132	0.978677410986173	0.988609939710001	-0.976871688271174	0.980200876476111	0.952014021069255
RNA_Seq_EW030_RS06895_RNA	-0.970909754686454	-0.968983028775809	-0.974776255327779	-0.97659794864589	-0.961139475791338	0.966935189438016	-0.974392306751984	0.977677024046022	-0.976910074707315	0.969378226119317	-0.967057093339937	-0.976871688271174	0.965272810857739	-0.968562469975756	-0.940710290949084
RNA_Seq_EW030_RS07575_RNA	0.974218624563808	0.972285332352539	0.978098302276886	0.979926203943525	0.964415048463289	-0.970230513958386	0.977713045200614	-0.981008956843104	0.980239393733599	-0.972681876532433	0.970352833309989	0.980200876476111	-0.968562469975756	0.97186334028401	0.943916240760603
RNA_Seq_EW030_RS10880_RNA	0.946203796007475	0.944326097939535	0.949971908920573	0.951747247075781	0.93668213353165	-0.942330368320299	0.949597730375003	-0.952798864113157	0.952051430716667	-0.944711239014485	0.942449170231794	0.952014021069255	-0.940710290949084	0.943916240760603	0.916772793704983
