X.RPMI	X.Sera	X.Contrib.RPMI	X.Contrib.Sera	X.Contrib	X.GroupContrib	X.color	X.importance
EW030_RS00740	-0.953808101508983	0.938137727597547	TRUE	FALSE	FALSE	RPMI	#388ECC	0.033912724355188
EW030_RS00705	-0.929508279212096	1.01327115013012	TRUE	FALSE	FALSE	RPMI	#388ECC	0.033867137413315
EW030_RS06895	0.864967657536728	-0.915051531870616	FALSE	TRUE	FALSE	Sera	#F68B33	-0.0337919636886354
EW030_RS10880	-0.937238232158738	0.950482269405148	TRUE	FALSE	FALSE	RPMI	#388ECC	0.0337735090088935
EW030_RS07575	-0.981337555584374	0.969302128006132	TRUE	FALSE	FALSE	RPMI	#388ECC	0.0337634406050567
EW030_RS08375	-0.924227247940452	0.987085875467661	TRUE	FALSE	FALSE	RPMI	#388ECC	0.0335940132553249
EW030_RS07580	-1.01760904842588	0.903126826428864	TRUE	FALSE	FALSE	RPMI	#388ECC	0.0335709181495523
EW030_RS00710	-0.922554286801435	1.00357875161756	TRUE	FALSE	FALSE	RPMI	#388ECC	0.0335613134000264
EW030_RS08765	-0.887265193000097	0.93191220914363	TRUE	FALSE	FALSE	RPMI	#388ECC	0.0334760561944289
EW030_RS04460	-0.833492539350415	1.0194035044398	TRUE	FALSE	FALSE	RPMI	#388ECC	0.0334161601147784
EW030_RS07655	-0.91031263190498	0.888370159088417	TRUE	FALSE	FALSE	RPMI	#388ECC	0.0333830558983843
EW030_RS08870	0.928697657069634	-0.86925200133907	FALSE	TRUE	FALSE	Sera	#F68B33	-0.0333569593077918
EW030_RS13240	-0.874433342250918	0.866287812085969	TRUE	FALSE	FALSE	RPMI	#388ECC	0.0333528605160368
EW030_RS01780	-0.922910246358008	0.997938979927611	TRUE	FALSE	FALSE	RPMI	#388ECC	0.0333169919600923
EW030_RS02685	0.943061190505273	-0.995694512601862	FALSE	TRUE	FALSE	Sera	#F68B33	-0.0333119967092569
EW030_RS08095	0.94448586618488	-0.916591388436394	FALSE	TRUE	FALSE	Sera	#F68B33	-0.0332621730035416
EW030_RS10980	-0.90407438041078	0.821525007978704	TRUE	FALSE	FALSE	RPMI	#388ECC	0.0331945089419983
