RPMI	Sera	Contrib.RPMI	Contrib.Sera	Contrib	GroupContrib	color	importance
HMDB0003911	-0.88882234176876	1.08429660842216	FALSE	TRUE	FALSE	Sera	#F68B33	-0.1369110178299
HMDB0000673	-0.852888638863754	1.03918226135883	FALSE	TRUE	FALSE	Sera	#F68B33	-0.136489207151649
HMDB0000273	-0.889825788204596	1.11735858704153	FALSE	TRUE	FALSE	Sera	#F68B33	-0.136448829662627
HMDB0000207	-0.874157194202918	1.06813067421015	FALSE	TRUE	FALSE	Sera	#F68B33	-0.136008709068884
HMDB0000573	-0.835811096786312	1.06552343488564	FALSE	TRUE	FALSE	Sera	#F68B33	-0.135976771679214
HMDB0000067	-0.847342720379448	1.03908200312756	FALSE	TRUE	FALSE	Sera	#F68B33	-0.134686090065119
HMDB0003229	-0.811978891114487	1.04095097791119	FALSE	TRUE	FALSE	Sera	#F68B33	-0.13405333119714
HMDB0000355	-0.696179410323741	0.913983585676375	FALSE	TRUE	FALSE	Sera	#F68B33	-0.130460253696416
HMDB0002931	0.811813677487678	-0.941069460652974	TRUE	FALSE	FALSE	RPMI	#388ECC	0.12800598256087
HMDB0000220	-0.8505172640174	1.03702648412535	FALSE	TRUE	FALSE	Sera	#F68B33	-0.127441079864926
HMDB0000696	-0.808869186206002	1.0496798643798	FALSE	TRUE	FALSE	Sera	#F68B33	-0.126225990294897
HMDB0000182	-0.94954613628331	0.959664957360636	FALSE	TRUE	FALSE	Sera	#F68B33	-0.1252474708273
HMDB0000694	-0.774205870265544	1.04319441198221	FALSE	TRUE	FALSE	Sera	#F68B33	-0.124836529281227
HMDB0000122	-0.892167813904356	0.943834198944543	FALSE	TRUE	FALSE	Sera	#F68B33	-0.12467342522237
HMDB0002259	-0.755836863179742	0.813328374377614	FALSE	TRUE	FALSE	Sera	#F68B33	-0.124098431282991
HMDB0000161	-0.844836753110673	0.991715025287301	FALSE	TRUE	FALSE	Sera	#F68B33	-0.124052042682022
HMDB0001043	-1.04856515803648	0.924994606604173	FALSE	TRUE	FALSE	Sera	#F68B33	-0.122655666026856
HMDB0000115	-0.859230455814001	1.01683419053204	FALSE	TRUE	FALSE	Sera	#F68B33	-0.122219063607714
HMDB0000428	-0.692458958726435	1.05639677599521	FALSE	TRUE	FALSE	Sera	#F68B33	-0.121826586917051
HMDB0002467	-1.03975145530294	0.973469247782606	FALSE	TRUE	FALSE	Sera	#F68B33	-0.119793628577575
HMDB0000765	0.660835279032318	-0.946821275465382	TRUE	FALSE	FALSE	RPMI	#388ECC	0.119579654327833
HMDB0002917	0.730666361437654	-0.834846823546809	TRUE	FALSE	FALSE	RPMI	#388ECC	0.11935170042091
