RPMI	Sera	Contrib.RPMI	Contrib.Sera	Contrib	GroupContrib	color	importance
HMDB0001043	-0.962047989641823	0.951178974073992	TRUE	FALSE	FALSE	RPMI	#388ECC	0.545393459933415
HMDB0000067	-0.972751071649617	0.943843162404247	TRUE	FALSE	FALSE	RPMI	#388ECC	0.418850773720168
HMDB0000965	-0.970581619759483	0.93837392380965	TRUE	FALSE	FALSE	RPMI	#388ECC	0.409728592688336
HMDB0003911	-0.950263440848108	0.964253329366297	TRUE	FALSE	FALSE	RPMI	#388ECC	0.389203463009581
HMDB0000673	-0.864877048415495	0.924766742157076	TRUE	FALSE	FALSE	RPMI	#388ECC	0.299253389204704
HMDB0000099	-0.874418688282885	0.845979336157838	TRUE	FALSE	FALSE	RPMI	#388ECC	0.288301255764092
HMDB0000216	0.946898628609349	-0.881770854646648	FALSE	TRUE	FALSE	Sera	#F68B33	-0.11708734704033
HMDB0000283	0.948409950102838	-0.888454345956252	FALSE	TRUE	FALSE	Sera	#F68B33	-0.1084437853195
HMDB0000207	-0.92695992163014	0.934171818474483	TRUE	FALSE	FALSE	RPMI	#388ECC	0.0952211902243279
HMDB0003229	-0.90885171358637	0.947848255604403	TRUE	FALSE	FALSE	RPMI	#388ECC	0.0233744823708067
