RPMI	Sera	Contrib.RPMI	Contrib.Sera	Contrib	GroupContrib	color	importance
HMDB0000827	-0.29849839759381	0.532901734833673	FALSE	TRUE	FALSE	Sera	#F68B33	0.285064690687648
HMDB0062477	0.656319619408685	-0.287067887652801	TRUE	FALSE	FALSE	RPMI	#388ECC	-0.261206061336925
HMDB0000177	0.116470942428502	-0.325283765996834	TRUE	FALSE	FALSE	RPMI	#388ECC	0.21774904526947
HMDB0000568	-0.307282827415826	-0.477034373467439	TRUE	FALSE	FALSE	RPMI	#388ECC	-0.174903873631148
HMDB0000060	-0.199416287287558	0.162101115020803	FALSE	TRUE	FALSE	Sera	#F68B33	0.172650193915574
HMDB0002259	-0.353473100392378	0.497841289756362	FALSE	TRUE	FALSE	Sera	#F68B33	0.171675536438027
X3.Aminoglutaric.acid	0.352588890491169	-0.0720338840401025	TRUE	FALSE	FALSE	RPMI	#388ECC	-0.168198974897378
HMDB0000112	0.263808072883948	0.142249602403535	TRUE	FALSE	FALSE	RPMI	#388ECC	-0.155185456992441
HMDB0000426	-0.200397605858043	-0.470412367617609	TRUE	FALSE	FALSE	RPMI	#388ECC	0.154826703195299
HMDB0000742	-0.324584508253865	0.40354668791823	FALSE	TRUE	FALSE	Sera	#F68B33	0.152079648467548
HMDB0000143	0.363818823063676	-0.0119878209218401	TRUE	FALSE	FALSE	RPMI	#388ECC	0.152012942562934
HMDB0000640	0.725291639819244	-0.566185146524933	TRUE	FALSE	FALSE	RPMI	#388ECC	0.14902124048334
HMDB0000247	-0.192312062070971	-0.27813402396009	TRUE	FALSE	FALSE	RPMI	#388ECC	-0.147767685530523
HMDB0000020	0.41190788584013	0.466386211227266	FALSE	TRUE	FALSE	Sera	#F68B33	0.144665348539967
HMDB0002917	0.636327069325459	-0.599754612754071	TRUE	FALSE	FALSE	RPMI	#388ECC	-0.139809827830182
HMDB0001076	-0.02954057746545	0.390677576004308	FALSE	TRUE	FALSE	Sera	#F68B33	0.134130612354331
HMDB0000618	0.417090781504294	-0.369931881688324	TRUE	FALSE	FALSE	RPMI	#388ECC	0.121354180299951
HMDB0001548	0.324586679021158	-0.707161701514921	TRUE	FALSE	FALSE	RPMI	#388ECC	0.119546633477409
HMDB0000725	-0.889885962364154	0.840531519732284	FALSE	TRUE	FALSE	Sera	#F68B33	0.118772262387459
HMDB0000220	-0.707857952780331	0.73325824180839	FALSE	TRUE	FALSE	Sera	#F68B33	0.114970982494995
HMDB0000162	0.803231524042936	-0.570333193970249	TRUE	FALSE	FALSE	RPMI	#388ECC	-0.11395909708507
HMDB0000535	0.427063904325914	-0.42903797427981	TRUE	FALSE	FALSE	RPMI	#388ECC	0.113757034841873
HMDB0000996	-0.385159136082305	0.410603365571836	FALSE	TRUE	FALSE	Sera	#F68B33	0.113165158675941
HMDB0000254	-0.335839887269982	-0.0387792521361169	FALSE	TRUE	FALSE	Sera	#F68B33	0.113027526955492
HMDB0000975	0.42900994540659	-0.09407557921123	TRUE	FALSE	FALSE	RPMI	#388ECC	0.109874290424199
HMDB0000630	0.153683464535461	-0.527062793759055	TRUE	FALSE	FALSE	RPMI	#388ECC	0.103189334139612
HMDB0000176	0.641913462274044	-0.674320072017675	TRUE	FALSE	FALSE	RPMI	#388ECC	0.0997551592754635
HMDB0000122	-0.504835239898113	1.01302824873142	FALSE	TRUE	FALSE	Sera	#F68B33	0.098846980930572
HMDB0000744	0.606908001057796	-0.84048716592363	TRUE	FALSE	FALSE	RPMI	#388ECC	0.0972229611329482
HMDB0000812	0.470299099320908	-0.238116867559071	TRUE	FALSE	FALSE	RPMI	#388ECC	0.09655430487465
HMDB0000303	-0.974909590924273	0.993566903817747	FALSE	TRUE	FALSE	Sera	#F68B33	0.095722476677891
HMDB0032538	0.5192252192351	-0.598492418382229	TRUE	FALSE	FALSE	RPMI	#388ECC	0.0934275098825996
HMDB0000754	0.689648008648024	-0.833118333643486	TRUE	FALSE	FALSE	RPMI	#388ECC	0.0927544249901357
HMDB0000663	0.15620227418005	0.255424623798666	FALSE	TRUE	FALSE	Sera	#F68B33	0.0921035161008639
