RPMI	Sera	Contrib.RPMI	Contrib.Sera	Contrib	GroupContrib	color	importance
WP_000954654.1	0.0564982125356999	0.375412691061028	FALSE	TRUE	FALSE	Sera	#F68B33	0.096263756672358
WP_000389662.1	0.254268964172958	-0.0332842909414789	TRUE	FALSE	FALSE	RPMI	#388ECC	-0.0919584753037148
WP_001085655.1	0.130945373339387	0.0681906198942537	TRUE	FALSE	FALSE	RPMI	#388ECC	-0.0874147573177223
WP_001151499.1	-0.300379169144238	0.194776805934525	FALSE	TRUE	FALSE	Sera	#F68B33	0.086378885303971
WP_000934151.1	0.823032269962745	-0.500088537329664	TRUE	FALSE	FALSE	RPMI	#388ECC	0.0837618277668163
WP_001221860.1	-0.101205733118917	0.732118760500635	FALSE	TRUE	FALSE	Sera	#F68B33	0.0816330708942968
WP_000972699.1	-0.636216663077958	0.360287240209856	FALSE	TRUE	FALSE	Sera	#F68B33	-0.0806580522007914
WP_001171351.1	0.0215158459701723	0.591128235515723	FALSE	TRUE	FALSE	Sera	#F68B33	-0.0786081112260462
WP_000125701.1	0.0770535702467197	-0.386544345302783	TRUE	FALSE	FALSE	RPMI	#388ECC	0.0785632552490812
WP_000661437.1	0.44397844282702	-0.636358482328075	TRUE	FALSE	FALSE	RPMI	#388ECC	0.0767358007456215
WP_072482917.1	0.200177255421766	0.313740804114255	FALSE	TRUE	FALSE	Sera	#F68B33	0.0762202792634417
WP_001044662.1	0.583231116196604	-0.452876641184422	TRUE	FALSE	FALSE	RPMI	#388ECC	-0.0753248489552596
WP_001228162.1	-0.0535267271598491	-0.254894999380453	TRUE	FALSE	FALSE	RPMI	#388ECC	-0.0741851477159067
WP_001030080.1	-0.42600964210915	0.486265360382318	FALSE	TRUE	FALSE	Sera	#F68B33	0.0739641770654889
WP_001041103.1	0.332349846046478	-0.153738099654469	TRUE	FALSE	FALSE	RPMI	#388ECC	0.0726128237320453
WP_000390529.1	0.249306583114032	-0.609665376142275	TRUE	FALSE	FALSE	RPMI	#388ECC	-0.0722855429501547
WP_000990133.1	0.332917508940464	0.148863757077942	TRUE	FALSE	FALSE	RPMI	#388ECC	-0.0713776862634619
WP_000076662.1	0.0930163459106891	0.393007275772976	FALSE	TRUE	FALSE	Sera	#F68B33	0.07136744161645
WP_000606210.1	0.402920167206601	-0.582131708369285	TRUE	FALSE	FALSE	RPMI	#388ECC	0.0709477789974019
WP_000455256.1	0.0581396533887422	0.178685959943411	FALSE	TRUE	FALSE	Sera	#F68B33	0.070830972128762
WP_000848304.1	0.502181799692543	-0.452609667578371	TRUE	FALSE	FALSE	RPMI	#388ECC	0.0696464644005359
WP_000623452.1	0.530065509162957	-0.568240658193116	TRUE	FALSE	FALSE	RPMI	#388ECC	0.0690009420871674
WP_000362357.1	0.377761207751145	-0.705574011397141	TRUE	FALSE	FALSE	RPMI	#388ECC	0.0689452468000241
WP_001806691.1	-0.616000899975241	0.416976943647385	FALSE	TRUE	FALSE	Sera	#F68B33	-0.0687010671098911
WP_000866415.1	-0.196728571077504	0.26038965840518	FALSE	TRUE	FALSE	Sera	#F68B33	-0.067485432651754
WP_001282562.1	0.578912201606938	-0.397851518073334	TRUE	FALSE	FALSE	RPMI	#388ECC	0.0668151714150751
WP_000164545.1	0.0525895807602564	-0.522141261642003	TRUE	FALSE	FALSE	RPMI	#388ECC	-0.066643883079573
WP_000090315.1	0.126543358746525	0.0256024955948324	TRUE	FALSE	FALSE	RPMI	#388ECC	0.0658820984722379
WP_000911014.1	0.250698461228581	-0.259820676462178	TRUE	FALSE	FALSE	RPMI	#388ECC	-0.0653992097920583
WP_129760484.1	-0.0747403985569966	0.366492958176038	FALSE	TRUE	FALSE	Sera	#F68B33	-0.0644035327923742
WP_001245802.1	0.482202420496481	-0.249846824571709	TRUE	FALSE	FALSE	RPMI	#388ECC	0.0643306876575801
WP_000598444.1	0.450503377794735	-0.121852442355386	TRUE	FALSE	FALSE	RPMI	#388ECC	-0.0640771907266287
WP_001803173.1	0.720062987610977	-0.568530475870171	TRUE	FALSE	FALSE	RPMI	#388ECC	-0.0639370001080721
WP_000825097.1	0.33345878884347	-0.320620536870381	TRUE	FALSE	FALSE	RPMI	#388ECC	0.0627242778613566
WP_000665237.1	0.127195929361745	-0.320361994521132	TRUE	FALSE	FALSE	RPMI	#388ECC	-0.0624767104609673
WP_001015996.1	0.291496953665158	0.28387248695033	TRUE	FALSE	FALSE	RPMI	#388ECC	-0.0618773624783415
WP_000525109.1	0.546284939584332	-0.128166511653495	TRUE	FALSE	FALSE	RPMI	#388ECC	0.0618563460102446
WP_000477517.1	-0.00784885058795191	0.49226980826715	FALSE	TRUE	FALSE	Sera	#F68B33	-0.0616494559092874
WP_000862727.1	0.13509967865209	0.266926416968204	FALSE	TRUE	FALSE	Sera	#F68B33	-0.0614019781822662
WP_001283612.1	0.670272862227056	-0.26156833984035	TRUE	FALSE	FALSE	RPMI	#388ECC	-0.0611594412781767
WP_001089613.1	-0.241648011569681	-0.451156039181497	TRUE	FALSE	FALSE	RPMI	#388ECC	-0.0604785003588589
WP_000572040.1	0.601429802295406	-1.0188551982435	TRUE	FALSE	FALSE	RPMI	#388ECC	-0.0604444121500542
WP_000896697.1	0.146340216476921	0.162489363680576	FALSE	TRUE	FALSE	Sera	#F68B33	-0.0601508706669928
WP_000119692.1	0.279673692842884	0.311270647766773	FALSE	TRUE	FALSE	Sera	#F68B33	0.0595725046890665
WP_001289549.1	-0.249726966121474	0.0751942593483224	FALSE	TRUE	FALSE	Sera	#F68B33	0.0592288301875048
WP_001284656.1	0.225405499538984	0.00684047908316049	TRUE	FALSE	FALSE	RPMI	#388ECC	0.0592053112999608
WP_000649791.1	0.197133762241568	-0.309439294087432	TRUE	FALSE	FALSE	RPMI	#388ECC	-0.0590380455272924
WP_000820892.1	0.0630890254509495	-0.0558389180973542	TRUE	FALSE	FALSE	RPMI	#388ECC	-0.0590193597673424
WP_000198597.1	0.137415995769213	0.242221126978386	FALSE	TRUE	FALSE	Sera	#F68B33	-0.0589822476082977
WP_000163487.1	0.283338957356825	-0.660932158438741	TRUE	FALSE	FALSE	RPMI	#388ECC	0.0588772340150909
WP_001263796.1	0.0451647400772181	-0.146190471569652	TRUE	FALSE	FALSE	RPMI	#388ECC	0.0588134592088767
WP_000726007.1	0.678742496908578	-0.343714130296643	TRUE	FALSE	FALSE	RPMI	#388ECC	0.0581421335685797
WP_000007683.1	0.579112047228223	-0.54845032413039	TRUE	FALSE	FALSE	RPMI	#388ECC	0.0580988224657717
WP_001125540.1	-0.270913330715331	0.0153256633581124	FALSE	TRUE	FALSE	Sera	#F68B33	-0.0577789712786567
WP_000971498.1	0.30383758435774	-0.39463943617689	TRUE	FALSE	FALSE	RPMI	#388ECC	-0.0576624869644052
WP_001177817.1	0.133678341010531	0.374001509240588	FALSE	TRUE	FALSE	Sera	#F68B33	-0.0574392807010301
WP_001199895.1	0.070750984121415	0.334439442901145	FALSE	TRUE	FALSE	Sera	#F68B33	-0.0574332824787729
WP_000073352.1	-0.137919914495122	0.647227777755502	FALSE	TRUE	FALSE	Sera	#F68B33	0.0565352025462791
WP_001059082.1	0.667092946206356	-0.396019179239751	TRUE	FALSE	FALSE	RPMI	#388ECC	0.0561300541795498
WP_000624584.1	0.403272117492011	-0.351979196216411	TRUE	FALSE	FALSE	RPMI	#388ECC	-0.0558582281816527
