Metabolomics_HMDB0000067	Metabolomics_HMDB0000092	Metabolomics_HMDB0000207	Metabolomics_HMDB0000965	Metabolomics_HMDB0003911	Proteomics_WP_000160859.1	Proteomics_WP_000791587.1	Proteomics_WP_000792564.1	Proteomics_WP_001041586.1	Proteomics_WP_001229077.1	RNA_Seq_EW031_RS02185	RNA_Seq_EW031_RS12050	RNA_Seq_EW031_RS12150	RNA_Seq_EW031_RS13440	RNA_Seq_EW031_RS14390
Metabolomics_HMDB0000067	0.983533361709119	0.937890848327571	0.963729488777674	0.977571842369537	0.986294173019706	0.987183290379429	0.979009505725365	0.982255091851084	0.991054737392375	0.983492850340586	-0.970616264050825	0.979438170244666	0.989637075560692	-0.983451536232012	0.977990540076249
Metabolomics_HMDB0000092	0.937890848327571	0.894366452245233	0.919006007297301	0.932205983280386	0.940523539564053	0.941371395943144	0.933576929459642	0.936671898723807	0.945063181971548	0.937852216956965	-0.925573190226361	0.933985701083776	0.943711309112199	-0.937812820098813	0.932605250618566
Metabolomics_HMDB0000207	0.963729488777674	0.919006007297301	0.944324375459633	0.957888007228447	0.966434709949165	0.967305924543311	0.95929672260597	0.962476957440391	0.9710994182832	0.963689793123205	-0.951072482510915	0.959716755778332	0.969710301690416	-0.963649310892214	0.958298274274336
Metabolomics_HMDB0000965	0.977571842369537	0.932205983280386	0.957888007228447	0.971646457760327	0.980315919494318	0.981199647621158	0.973075406965488	0.97630132052573	0.985047628519849	0.97753157655374	-0.964733039490555	0.973501473208084	0.983638559603013	-0.977490512863572	0.972062617602465
Metabolomics_HMDB0003911	0.986294173019706	0.940523539564053	0.966434709949165	0.980315919494318	0.989062734020734	0.989954347162867	0.981757618419663	0.985012315015076	0.993836661458122	0.986253547934395	-0.973340816632727	0.982187486214724	0.992415020201875	-0.986212117855725	0.980735792499611
Proteomics_WP_000160859.1	0.987183290379429	0.941371395943144	0.967305924543311	0.981199647621158	0.989954347162867	0.990846764069987	0.982642646198855	0.985900276814688	0.99473257816594	0.98714262867171	-0.97421825689413	0.983072901508037	0.993309655338783	-0.987101161244951	0.98161989913054
Proteomics_WP_000791587.1	0.979009505725365	0.933576929459642	0.95929672260597	0.973075406965488	0.981757618419663	0.982642646198855	0.974506457650889	0.977737115392083	0.986496286120128	0.978969180692756	-0.96615182149605	0.974933150486639	0.985085144959945	-0.978928056612384	0.973492178831959
Proteomics_WP_000792564.1	0.982255091851084	0.936671898723807	0.962476957440391	0.97630132052573	0.985012315015076	0.985900276814688	0.977737115392083	0.980978483323405	0.989766692219947	0.982214633134005	-0.969354782170944	0.978165222788509	0.988350872882336	-0.982173372720182	0.976719474063145
Proteomics_WP_001041586.1	0.991054737392375	0.945063181971548	0.9710994182832	0.985047628519849	0.993836661458122	0.99473257816594	0.986496286120128	0.989766692219947	0.998633631299589	0.991013916221212	-0.978038858799943	0.986928228766046	0.99720512818113	-0.990972286171213	0.985469528133962
Proteomics_WP_001229077.1	0.983492850340586	0.937852216956965	0.963689793123205	0.97753157655374	0.986253547934395	0.98714262867171	0.978969180692756	0.982214633134005	0.991013916221212	0.983452340640702	-0.970576284732677	0.979397827555527	0.989596312782486	-0.98341102823384	0.977950257014451
RNA_Seq_EW031_RS02185	-0.970616264050825	-0.925573190226361	-0.951072482510915	-0.964733039490555	-0.973340816632727	-0.97421825689413	-0.96615182149605	-0.969354782170944	-0.978038858799943	-0.970576284732677	0.957868811285536	-0.966574856209923	-0.976639815631378	0.970535513217161	-0.965146238289577
RNA_Seq_EW031_RS12050	0.979438170244666	0.933985701083776	0.959716755778332	0.973501473208084	0.982187486214724	0.983072901508037	0.974933150486639	0.978165222788509	0.986928228766046	0.979397827555527	-0.966574856209923	0.975360030152117	0.9855164697302	-0.979356685468758	0.973918427560334
RNA_Seq_EW031_RS12150	0.989637075560692	0.943711309112199	0.969710301690416	0.983638559603013	0.992415020201875	0.993309655338783	0.985085144959945	0.988350872882336	0.99720512818113	0.989596312782486	-0.976639815631378	0.9855164697302	0.995778668475887	-0.98955474228251	0.984059855707595
RNA_Seq_EW031_RS13440	-0.983451536232012	-0.937812820098813	-0.963649310892214	-0.977490512863572	-0.986212117855725	-0.987101161244951	-0.978928056612384	-0.982173372720182	-0.990972286171213	-0.98341102823384	0.970535513217161	-0.979356685468758	-0.98955474228251	0.98336971756241	-0.97790917573655
RNA_Seq_EW031_RS14390	0.977990540076249	0.932605250618566	0.958298274274336	0.972062617602465	0.980735792499611	0.98161989913054	0.973492178831959	0.976719474063145	0.985469528133962	0.977950257014451	-0.965146238289577	0.973918427560334	0.984059855707595	-0.97790917573655	0.972478955687433
