RPMI	Sera	Contrib.RPMI	Contrib.Sera	Contrib	GroupContrib	color	importance
WP_031902258.1	0.244644731485697	-0.428538013228715	TRUE	FALSE	FALSE	RPMI	#388ECC	0.0599492591644658
WP_000794407.1	0.019771609959239	0.412878961749306	FALSE	TRUE	FALSE	Sera	#F68B33	-0.0581894685232532
WP_000711486.1	-0.268325912262479	-0.414268869722018	TRUE	FALSE	FALSE	RPMI	#388ECC	0.0570445339065239
WP_001269929.1	0.273164838538616	-0.568533953993349	TRUE	FALSE	FALSE	RPMI	#388ECC	0.0561366380429992
WP_001021468.1	-0.21553749886402	0.0745793916878713	FALSE	TRUE	FALSE	Sera	#F68B33	0.0558082642010244
WP_000047348.1	0.42649038251662	-0.884269191863605	TRUE	FALSE	FALSE	RPMI	#388ECC	0.0557618483522854
WP_000864305.1	-0.20677391897503	-0.394555364577913	TRUE	FALSE	FALSE	RPMI	#388ECC	0.0555322720223462
WP_000727423.1	0.57706716835316	-1.08152413012453	TRUE	FALSE	FALSE	RPMI	#388ECC	0.0552914505975678
WP_000090315.1	-0.261833691859126	-0.21597280759851	FALSE	TRUE	FALSE	Sera	#F68B33	0.0549388752888157
WP_000472302.1	-0.138455926429707	-0.252238399357589	TRUE	FALSE	FALSE	RPMI	#388ECC	0.0546451412138553
WP_000638870.1	-0.230711092285521	-0.358280757200765	TRUE	FALSE	FALSE	RPMI	#388ECC	0.0540953391731901
WP_000939059.1	0.144825794860677	-0.735915689288524	TRUE	FALSE	FALSE	RPMI	#388ECC	0.0539562827381051
WP_000774565.1	-0.0418165661886777	-0.429817944887253	TRUE	FALSE	FALSE	RPMI	#388ECC	0.0539477457470191
WP_000342185.1	0.391792517784796	-0.475704037597102	TRUE	FALSE	FALSE	RPMI	#388ECC	0.0537577183644786
WP_000375647.1	-0.0479772183686595	-0.32022218854649	TRUE	FALSE	FALSE	RPMI	#388ECC	0.0535647141708544
WP_001265708.1	-0.0791542166273278	-0.386572702106972	TRUE	FALSE	FALSE	RPMI	#388ECC	0.0529131179855551
WP_000138351.1	0.0079481044090582	-0.419762633094794	TRUE	FALSE	FALSE	RPMI	#388ECC	0.0526867388940444
WP_000448078.1	0.388564256692542	-0.856967310365699	TRUE	FALSE	FALSE	RPMI	#388ECC	0.0526483118391512
WP_001548566.1	0.188108850763965	-0.617277345250866	TRUE	FALSE	FALSE	RPMI	#388ECC	0.0525186292056462
WP_000918667.1	-0.22414335500346	0.0718046729731886	FALSE	TRUE	FALSE	Sera	#F68B33	0.0524731045034065
WP_000972699.1	-0.0528006064304022	-0.22372877063834	TRUE	FALSE	FALSE	RPMI	#388ECC	0.0523260120857587
WP_000615921.1	0.133782282760241	-0.49327693318426	TRUE	FALSE	FALSE	RPMI	#388ECC	0.0521833914904491
WP_000201387.1	-0.118760460984769	-0.236262230487741	TRUE	FALSE	FALSE	RPMI	#388ECC	0.0521506860630685
WP_000097462.1	-0.0228882844394993	-0.34533123963425	TRUE	FALSE	FALSE	RPMI	#388ECC	0.0520624649437873
WP_000477521.1	-0.0921878132847819	0.930379597754305	FALSE	TRUE	FALSE	Sera	#F68B33	-0.0518042836348893
WP_001283444.1	0.673778565592666	-0.652831168676227	TRUE	FALSE	FALSE	RPMI	#388ECC	0.0516771482050286
WP_001240826.1	0.109439863196113	0.100450554823301	TRUE	FALSE	FALSE	RPMI	#388ECC	-0.0511317949578348
WP_000140050.1	0.4040725110551	-0.878546968006953	TRUE	FALSE	FALSE	RPMI	#388ECC	0.0510541589370562
WP_000057594.1	0.0237197727048841	-0.371948155602729	TRUE	FALSE	FALSE	RPMI	#388ECC	0.05102432650554
WP_010956549.1	0.478904796878694	-0.765029122600677	TRUE	FALSE	FALSE	RPMI	#388ECC	0.0509390046211347
WP_001283792.1	-0.161603013076062	0.116011139457055	FALSE	TRUE	FALSE	Sera	#F68B33	0.0502865752335545
WP_000161661.1	-0.486885399872208	0.691510436537256	FALSE	TRUE	FALSE	Sera	#F68B33	-0.0502725430190335
WP_000506531.1	0.319719336979394	-0.476302234582119	TRUE	FALSE	FALSE	RPMI	#388ECC	0.0502693696722862
WP_000167269.1	-0.138368527290101	0.282510921233246	FALSE	TRUE	FALSE	Sera	#F68B33	0.0501540231923197
WP_001222105.1	0.259211397189026	-0.630467315221656	TRUE	FALSE	FALSE	RPMI	#388ECC	0.0500833786143594
WP_001048368.1	-0.41169995844126	-0.359823128845356	FALSE	TRUE	FALSE	Sera	#F68B33	0.050053660555061
WP_000139712.1	0.679513371083075	-0.835972089359434	TRUE	FALSE	FALSE	RPMI	#388ECC	0.0499424116941574
WP_000406842.1	0.105951598118053	-0.262519672129833	TRUE	FALSE	FALSE	RPMI	#388ECC	0.0499068019297626
WP_001003793.1	0.643992436529427	0.0869122376794146	TRUE	FALSE	FALSE	RPMI	#388ECC	0.0497301589670795
WP_000413437.1	0.0412571831765318	-0.613039228353144	TRUE	FALSE	FALSE	RPMI	#388ECC	0.0495859290742766
WP_001130051.1	-0.161222293542278	-0.174575651100459	TRUE	FALSE	FALSE	RPMI	#388ECC	0.0495499062595361
WP_001088978.1	0.805024095963081	-0.981871964959372	TRUE	FALSE	FALSE	RPMI	#388ECC	0.0494848801909371
WP_000859443.1	0.644405007638953	-0.0462844361047621	TRUE	FALSE	FALSE	RPMI	#388ECC	0.0494401311112653
WP_000545370.1	-0.235346363006328	0.0242783308805099	FALSE	TRUE	FALSE	Sera	#F68B33	0.0490555854635839
WP_000883645.1	-0.107398441754877	-0.00989722749792812	FALSE	TRUE	FALSE	Sera	#F68B33	0.0490408893277173
WP_001160682.1	-0.278589186577176	-0.266295138123499	FALSE	TRUE	FALSE	Sera	#F68B33	0.0489337057728069
WP_000264071.1	0.497083368338163	-0.759373850293989	TRUE	FALSE	FALSE	RPMI	#388ECC	0.0489164709858419
WP_000159034.1	0.505808694247774	-0.677927357793555	TRUE	FALSE	FALSE	RPMI	#388ECC	0.0488427608579846
WP_000727537.1	-0.403533908162202	0.115413428275198	FALSE	TRUE	FALSE	Sera	#F68B33	0.0487505047806575
WP_000957036.1	-0.195177900255143	-0.199528871385773	TRUE	FALSE	FALSE	RPMI	#388ECC	0.0485733109931315
WP_001076671.1	-0.0655830324090142	-0.518598880663722	TRUE	FALSE	FALSE	RPMI	#388ECC	0.0485678086211064
WP_000181398.1	-0.0952800333859415	-0.419253393142398	TRUE	FALSE	FALSE	RPMI	#388ECC	0.0485157365852797
WP_000032657.1	-0.131641122809082	-0.725805644992063	TRUE	FALSE	FALSE	RPMI	#388ECC	0.0484964286659958
WP_000421410.1	0.639940130472205	-0.81505476578395	TRUE	FALSE	FALSE	RPMI	#388ECC	0.0484784939436253
WP_000597335.1	0.458760277936181	-0.780378154257614	TRUE	FALSE	FALSE	RPMI	#388ECC	0.0481866991825486
WP_000933956.1	-0.312553854674114	-0.366786058919018	TRUE	FALSE	FALSE	RPMI	#388ECC	0.0481800190780164
WP_001088022.1	-0.0784252837352597	-0.313607376115569	TRUE	FALSE	FALSE	RPMI	#388ECC	0.048161288461388
WP_001279381.1	0.241817744077367	-0.425517688943624	TRUE	FALSE	FALSE	RPMI	#388ECC	0.0481268746992639
WP_000249662.1	0.120721238886451	-0.508079454948019	TRUE	FALSE	FALSE	RPMI	#388ECC	0.0480013503808678
WP_001548666.1	0.00884617619182544	-0.212294036042622	TRUE	FALSE	FALSE	RPMI	#388ECC	0.0479853172977841
WP_001015117.1	-0.1130541727148	-0.348391723113446	TRUE	FALSE	FALSE	RPMI	#388ECC	0.0477602196089236
WP_031902247.1	-0.0620872072281364	-0.369672817981336	TRUE	FALSE	FALSE	RPMI	#388ECC	0.0476962215549951
WP_000058383.1	-0.355015732722842	-0.0217915395610137	FALSE	TRUE	FALSE	Sera	#F68B33	0.0476954562191479
WP_000424966.1	-0.0216766328373457	-0.370034213998487	TRUE	FALSE	FALSE	RPMI	#388ECC	0.0475784116855093
WP_000868645.1	-0.128733241537611	-0.055955208476528	FALSE	TRUE	FALSE	Sera	#F68B33	0.0475628116842134
WP_000191455.1	-0.345847505784748	-0.141749303038532	FALSE	TRUE	FALSE	Sera	#F68B33	0.0474028399111889
WP_001250038.1	0.0739037890647152	0.119586137591345	FALSE	TRUE	FALSE	Sera	#F68B33	0.0473655838578915
WP_000255586.1	0.466555421450512	-0.893254225939423	TRUE	FALSE	FALSE	RPMI	#388ECC	0.0473531598774592
WP_001176863.1	0.318161161220491	0.313303746851133	TRUE	FALSE	FALSE	RPMI	#388ECC	-0.0472449011504953
WP_000145499.1	-0.417024552749971	0.305972862962551	FALSE	TRUE	FALSE	Sera	#F68B33	0.0472210268317417
WP_000613716.1	0.125096385501877	-0.0906822409043557	TRUE	FALSE	FALSE	RPMI	#388ECC	0.0471664296289998
WP_001109047.1	0.780937048076584	-0.620679970721254	TRUE	FALSE	FALSE	RPMI	#388ECC	0.047114495278809
WP_000662675.1	0.721434880767281	-0.596194951592727	TRUE	FALSE	FALSE	RPMI	#388ECC	0.0469766674591493
WP_000608440.1	0.60805158787326	-0.558685456748241	TRUE	FALSE	FALSE	RPMI	#388ECC	0.046826471676746
WP_000043634.1	0.445665179661575	-0.815068995395406	TRUE	FALSE	FALSE	RPMI	#388ECC	0.0468144425054009
WP_011443619.1	-0.398158145498349	-0.127513300719141	FALSE	TRUE	FALSE	Sera	#F68B33	0.0467647444106042
WP_000184947.1	-0.147664108690836	-0.497309891105754	TRUE	FALSE	FALSE	RPMI	#388ECC	0.0465263546325701
WP_000904312.1	0.383995669093773	-0.713303147204675	TRUE	FALSE	FALSE	RPMI	#388ECC	0.0463464507107591
WP_001230228.1	-0.803951759095137	0.0488985982488617	FALSE	TRUE	FALSE	Sera	#F68B33	0.0463421848150523
WP_000868999.1	0.550568729065186	-0.630498453398355	TRUE	FALSE	FALSE	RPMI	#388ECC	0.0462947329493615
WP_001137495.1	-0.260536593513365	0.128863250002734	FALSE	TRUE	FALSE	Sera	#F68B33	0.0462269668440149
WP_000075703.1	0.569602853571456	-0.0240893014748278	TRUE	FALSE	FALSE	RPMI	#388ECC	-0.0462259014591069
WP_000626074.1	-0.085710206923402	-0.445248207974685	TRUE	FALSE	FALSE	RPMI	#388ECC	0.0462171027604022
WP_000007683.1	0.518214185941276	-0.905491806631087	TRUE	FALSE	FALSE	RPMI	#388ECC	0.0461898543018618
WP_000827000.1	0.0909559673453118	0.330049623474101	FALSE	TRUE	FALSE	Sera	#F68B33	-0.0460366269834966
WP_000149503.1	0.154251946855815	-0.489004466845302	TRUE	FALSE	FALSE	RPMI	#388ECC	0.0460332837276084
WP_000460242.1	-0.347248060410937	0.00444672051642445	FALSE	TRUE	FALSE	Sera	#F68B33	0.0459738721608166
WP_000579564.1	-0.710255046810373	0.0312729169574959	FALSE	TRUE	FALSE	Sera	#F68B33	0.0459641872231161
WP_000155386.1	0.544506994833131	-0.507716198116985	TRUE	FALSE	FALSE	RPMI	#388ECC	0.0459620528250702
WP_001283665.1	0.61436526214513	-0.109196065728675	TRUE	FALSE	FALSE	RPMI	#388ECC	0.0457110749862807
WP_011446981.1	-0.368308963283788	0.210442365376907	FALSE	TRUE	FALSE	Sera	#F68B33	-0.0457106760395179
WP_001270868.1	0.239898463319684	-0.241111898635011	TRUE	FALSE	FALSE	RPMI	#388ECC	0.0456749865922841
WP_000362212.1	0.197164522881706	-0.264173316329948	TRUE	FALSE	FALSE	RPMI	#388ECC	0.04566134624002
WP_001138360.1	0.00132403235608282	-0.373837402319853	TRUE	FALSE	FALSE	RPMI	#388ECC	0.0456443597264952
WP_001218732.1	-0.182544738177749	0.0544891489215337	FALSE	TRUE	FALSE	Sera	#F68B33	0.0456398683044364
WP_000410720.1	-0.0388005555906479	-0.0082663456767041	FALSE	TRUE	FALSE	Sera	#F68B33	-0.0456286912304886
WP_001115101.1	0.0794988113217113	0.0168527025695206	TRUE	FALSE	FALSE	RPMI	#388ECC	0.0456091109027784
WP_000095327.1	0.581259207759642	-0.918664702438967	TRUE	FALSE	FALSE	RPMI	#388ECC	0.0455861565488401
WP_000123393.1	-0.338852050046213	-0.113457077228686	FALSE	TRUE	FALSE	Sera	#F68B33	0.0455330253393114
WP_000029536.1	0.334967349011714	0.081974911743559	TRUE	FALSE	FALSE	RPMI	#388ECC	-0.0454934209576168
WP_000660045.1	-0.731352779214974	0.822120203128587	FALSE	TRUE	FALSE	Sera	#F68B33	-0.0453546282378802
WP_000809131.1	-0.0969123140654066	0.241597157317131	FALSE	TRUE	FALSE	Sera	#F68B33	-0.0453138191020939
WP_000183771.1	0.203937293610494	-0.244599585971323	TRUE	FALSE	FALSE	RPMI	#388ECC	0.0452926988794201
WP_000569649.1	-0.295876989564409	-0.0362230205217661	FALSE	TRUE	FALSE	Sera	#F68B33	0.0452706532071683
WP_000066097.1	0.300877364254908	-0.66009626492112	TRUE	FALSE	FALSE	RPMI	#388ECC	0.0451686659585845
WP_000934151.1	0.680803059847804	-0.406076620200156	TRUE	FALSE	FALSE	RPMI	#388ECC	0.0451624465363165
WP_000081237.1	-0.298784765583315	0.0395579575373706	FALSE	TRUE	FALSE	Sera	#F68B33	0.0450714240257749
WP_001245769.1	0.280591866282371	0.389938098292458	FALSE	TRUE	FALSE	Sera	#F68B33	-0.0450685133503123
WP_000148605.1	0.0323222411212523	-0.375767885113005	TRUE	FALSE	FALSE	RPMI	#388ECC	0.0449605883412647
WP_000011823.1	-0.338591994905997	0.0422288981793762	FALSE	TRUE	FALSE	Sera	#F68B33	-0.0449314781418165
WP_000872486.1	-0.283593671101898	-0.243803681743811	FALSE	TRUE	FALSE	Sera	#F68B33	0.0449092481011019
WP_000259718.1	0.098231619367628	-0.503321394730597	TRUE	FALSE	FALSE	RPMI	#388ECC	0.044852428370691
WP_000066378.1	0.0654906216085917	-0.155832254336042	TRUE	FALSE	FALSE	RPMI	#388ECC	0.0447675580414971
