RPMI	Sera	Contrib.RPMI	Contrib.Sera	Contrib	GroupContrib	color	importance
WP_001041586.1	-0.939789619188064	0.955071175918336	FALSE	TRUE	FALSE	Sera	#F68B33	-0.717159395994915
WP_000160859.1	-0.982746323484758	0.913546247275231	FALSE	TRUE	FALSE	Sera	#F68B33	-0.338386804398676
WP_000791587.1	-0.886293358352091	0.927911273443098	FALSE	TRUE	FALSE	Sera	#F68B33	-0.318246933866376
WP_001229077.1	-0.940362389161549	0.947959097541602	FALSE	TRUE	FALSE	Sera	#F68B33	-0.307879153848557
WP_000792564.1	-0.93196244701831	0.915446111693245	FALSE	TRUE	FALSE	Sera	#F68B33	-0.256252446657516
WP_000754443.1	-0.965991466280534	0.918990374894108	FALSE	TRUE	FALSE	Sera	#F68B33	-0.23924462488311
WP_001101908.1	0.924259332699755	-0.943065999972627	TRUE	FALSE	FALSE	RPMI	#388ECC	0.195143596149491
WP_001045111.1	-0.969179410661847	0.955400280505294	FALSE	TRUE	FALSE	Sera	#F68B33	-0.0922040176029126
WP_000709291.1	0.906141135141389	-0.882995162220928	TRUE	FALSE	FALSE	RPMI	#388ECC	0.0639684020703933
WP_001126603.1	0.964195048278037	-0.914093753504723	TRUE	FALSE	FALSE	RPMI	#388ECC	0.0390924501415794
