RPMI	Sera	Contrib.RPMI	Contrib.Sera	Contrib	GroupContrib	color	importance
WP_001041586.1	-0.939789619188064	0.955071175918336	TRUE	FALSE	FALSE	RPMI	#388ECC	-0.730885565432214
WP_001229077.1	-0.940362389161549	0.947959097541602	TRUE	FALSE	FALSE	RPMI	#388ECC	-0.369297072462329
WP_000160859.1	-0.982746323484758	0.913546247275231	TRUE	FALSE	FALSE	RPMI	#388ECC	-0.33054955616226
WP_000791587.1	-0.886293358352091	0.927911273443098	TRUE	FALSE	FALSE	RPMI	#388ECC	-0.288813859622787
WP_000792564.1	-0.93196244701831	0.915446111693245	TRUE	FALSE	FALSE	RPMI	#388ECC	-0.281805407382588
WP_001101908.1	0.924259332699755	-0.943065999972627	FALSE	TRUE	FALSE	Sera	#F68B33	0.163649354001459
WP_000754443.1	-0.965991466280534	0.918990374894108	TRUE	FALSE	FALSE	RPMI	#388ECC	-0.158626553856544
WP_000808845.1	0.974341328155588	-0.95124814816601	FALSE	TRUE	FALSE	Sera	#F68B33	0.0665863963653775
WP_001126603.1	0.964195048278037	-0.914093753504723	FALSE	TRUE	FALSE	Sera	#F68B33	0.030302587587006
WP_000031268.1	-0.915736488158648	0.916676378851017	TRUE	FALSE	FALSE	RPMI	#388ECC	-0.00630322499586263
