RPMI	Sera	Contrib.RPMI	Contrib.Sera	Contrib	GroupContrib	color	importance
WP_001005767.1	0.0925100316226756	0.31207577868881	TRUE	FALSE	FALSE	RPMI	#388ECC	0.0991475717801555
WP_001045133.1	0.347171531092017	0.137323567036034	FALSE	TRUE	FALSE	Sera	#F68B33	-0.0904641258010216
WP_001105087.1	0.3968443697073	-0.120381017533371	FALSE	TRUE	FALSE	Sera	#F68B33	0.0878877823789964
WP_001018928.1	-0.152179783864255	0.358308354630721	TRUE	FALSE	FALSE	RPMI	#388ECC	-0.0835930281114861
WP_000191466.1	0.96755931166423	-0.141682112263096	FALSE	TRUE	FALSE	Sera	#F68B33	-0.0828211121577385
WP_001057051.1	0.439653762416894	0.162694787172843	FALSE	TRUE	FALSE	Sera	#F68B33	-0.0805360565184862
WP_000417369.1	0.424489430975498	-0.326925979455082	FALSE	TRUE	FALSE	Sera	#F68B33	-0.0801873532508541
WP_000290400.1	-0.526273113677478	0.402932279985872	TRUE	FALSE	FALSE	RPMI	#388ECC	-0.0785055027350463
WP_000516800.1	0.399980811088349	0.460365613576906	TRUE	FALSE	FALSE	RPMI	#388ECC	0.078126663474049
WP_000733431.1	0.0318417062445834	0.182959935184922	TRUE	FALSE	FALSE	RPMI	#388ECC	-0.0772400218461774
WP_000275730.1	-0.743263855721261	0.696170575719571	TRUE	FALSE	FALSE	RPMI	#388ECC	0.076299214180819
WP_001117054.1	-0.796148069953777	0.227496207896569	TRUE	FALSE	FALSE	RPMI	#388ECC	-0.075219298433456
WP_000572040.1	0.607350799557389	-0.373655613620498	FALSE	TRUE	FALSE	Sera	#F68B33	0.073033723280418
WP_000665238.1	0.755927541309792	-0.29849857060645	FALSE	TRUE	FALSE	Sera	#F68B33	-0.0720914081071781
WP_000677261.1	0.644370477562012	-0.0530202829848933	FALSE	TRUE	FALSE	Sera	#F68B33	0.0719972757382955
WP_001080462.1	-0.0547152881130644	0.00902435759450669	TRUE	FALSE	FALSE	RPMI	#388ECC	0.0711672478095111
WP_001217730.1	-0.120486015962175	0.503692919412282	TRUE	FALSE	FALSE	RPMI	#388ECC	0.0705380289162455
WP_000163283.1	0.811949138107675	-0.609042434388898	FALSE	TRUE	FALSE	Sera	#F68B33	-0.0701830881379139
WP_000911019.1	0.327083709165626	-0.106675888063094	FALSE	TRUE	FALSE	Sera	#F68B33	0.0680633657353293
WP_000666761.1	0.214130998171869	0.078382662303433	FALSE	TRUE	FALSE	Sera	#F68B33	0.0680425878630149
WP_000545115.1	-0.0720472690004752	0.2334535050217	TRUE	FALSE	FALSE	RPMI	#388ECC	-0.0679258418582375
WP_000689580.1	0.300271756263668	-0.30005905954494	FALSE	TRUE	FALSE	Sera	#F68B33	-0.0678128339955749
WP_000038517.1	0.380936556336698	-0.308112334840673	FALSE	TRUE	FALSE	Sera	#F68B33	-0.0676666403146594
WP_000841351.1	-0.00316025933324274	0.492688581593099	TRUE	FALSE	FALSE	RPMI	#388ECC	-0.0669842339094726
WP_001223008.1	-0.700960458405101	-0.0502455647725392	TRUE	FALSE	FALSE	RPMI	#388ECC	0.065992789398957
WP_000969811.1	0.180971310283675	-0.205695554573124	FALSE	TRUE	FALSE	Sera	#F68B33	-0.0652374143576831
WP_000182019.1	0.742810535673242	-0.501539995260457	FALSE	TRUE	FALSE	Sera	#F68B33	-0.064918531797594
WP_001276571.1	0.577403893687298	-0.35147673620925	FALSE	TRUE	FALSE	Sera	#F68B33	-0.0645174124899643
WP_000142049.1	-0.261366125967912	0.202480772871039	TRUE	FALSE	FALSE	RPMI	#388ECC	-0.0643416177457441
WP_000649791.1	0.384878913425313	0.142615569005502	FALSE	TRUE	FALSE	Sera	#F68B33	0.0636663411430938
WP_000022323.1	0.00600427418598902	-0.154651167440251	FALSE	TRUE	FALSE	Sera	#F68B33	0.0635130284372045
