RPMI	Sera	Contrib.RPMI	Contrib.Sera	Contrib	GroupContrib	color	importance
EW031_RS10715	-0.0444924209463928	0.0273162475002369	FALSE	TRUE	FALSE	Sera	#F68B33	-0.0733248520390707
EW031_RS10710	-0.0259793353684333	0.250880106600204	FALSE	TRUE	FALSE	Sera	#F68B33	-0.0700499304725711
EW031_RS10705	0.267330321619143	-0.103084707732267	TRUE	FALSE	FALSE	RPMI	#388ECC	-0.069398468808847
EW031_RS09250	-0.265053103701863	0.282973593307449	FALSE	TRUE	FALSE	Sera	#F68B33	-0.0664365818333798
EW031_RS05685	-0.0646428065552916	-0.221868809060806	TRUE	FALSE	FALSE	RPMI	#388ECC	-0.0653824672203869
EW031_RS03430	-0.0800145948151691	-0.135919613092602	TRUE	FALSE	FALSE	RPMI	#388ECC	-0.0590368504519328
EW031_RS11030	-0.291973594733158	-0.125465791288084	FALSE	TRUE	FALSE	Sera	#F68B33	-0.0589898827378153
EW031_RS03755	-0.583665200136935	-0.139076656507721	FALSE	TRUE	FALSE	Sera	#F68B33	0.0574944555967504
EW031_RS07825	0.133755883271879	-0.118312654176611	TRUE	FALSE	FALSE	RPMI	#388ECC	-0.0574381319893123
EW031_RS13720	0.033831410357842	0.0889922097911076	FALSE	TRUE	FALSE	Sera	#F68B33	-0.0571940173675148
EW031_RS10720	0.412370751084873	-0.0220023117665671	TRUE	FALSE	FALSE	RPMI	#388ECC	-0.0565843978026711
EW031_RS11035	-0.279664412865209	0.174007831040253	FALSE	TRUE	FALSE	Sera	#F68B33	-0.0561395384312604
EW031_RS07255	-0.0460541493149933	-0.179995977255583	TRUE	FALSE	FALSE	RPMI	#388ECC	0.0561149230986268
EW031_RS11995	0.254457920920708	0.257357190237843	FALSE	TRUE	FALSE	Sera	#F68B33	-0.0556216343007314
EW031_RS13210	0.225537439418104	-0.392863491155934	TRUE	FALSE	FALSE	RPMI	#388ECC	0.055601373012516
EW031_RS12025	0.0388499148159618	-0.289600642136392	TRUE	FALSE	FALSE	RPMI	#388ECC	0.0550205361835471
EW031_RS10025	-0.0286890045574162	-0.54241904161289	TRUE	FALSE	FALSE	RPMI	#388ECC	0.0549216494977039
EW031_RS07830	0.0643277126146952	-0.179490125427636	TRUE	FALSE	FALSE	RPMI	#388ECC	-0.0546751402514298
EW031_RS10905	0.126745027305528	-0.0961916511788691	TRUE	FALSE	FALSE	RPMI	#388ECC	-0.0527952345276866
EW031_RS02970	0.566678141237905	-0.535047151505725	TRUE	FALSE	FALSE	RPMI	#388ECC	-0.0517559099430733
EW031_RS15485	0.0633194768147843	-0.242261305042052	TRUE	FALSE	FALSE	RPMI	#388ECC	0.0509798641151048
EW031_RS10880	-0.515443317580362	0.199057976355249	FALSE	TRUE	FALSE	Sera	#F68B33	0.0508170007624131
EW031_RS09195	-0.825651058020119	0.693004667199726	FALSE	TRUE	FALSE	Sera	#F68B33	-0.0507146453969324
EW031_RS05930	-0.229174252229462	-0.183061666204446	FALSE	TRUE	FALSE	Sera	#F68B33	0.0504178474753635
EW031_RS04635	0.0708449107187379	-0.3662665168756	TRUE	FALSE	FALSE	RPMI	#388ECC	0.0502789653580706
EW031_RS09730	-0.401620666484623	0.471634756520855	FALSE	TRUE	FALSE	Sera	#F68B33	-0.0502658054661275
EW031_RS01000	-0.572511524532651	0.497537400055363	FALSE	TRUE	FALSE	Sera	#F68B33	0.0500313180882671
EW031_RS09725	-0.375333673758777	0.494004576745843	FALSE	TRUE	FALSE	Sera	#F68B33	-0.0499419106653465
EW031_RS07560	0.38851382024117	-0.587051324775612	TRUE	FALSE	FALSE	RPMI	#388ECC	0.0495632217873343
EW031_RS04630	-0.385625701013878	-0.225283640341534	FALSE	TRUE	FALSE	Sera	#F68B33	0.0492758926905453
EW031_RS09200	-0.669904423444493	0.729651968116228	FALSE	TRUE	FALSE	Sera	#F68B33	-0.0491700072745037
EW031_RS13270	0.623871242635954	-0.507981944515796	TRUE	FALSE	FALSE	RPMI	#388ECC	-0.0491501764918806
EW031_RS15170	0.58223860545498	-0.686290053155894	TRUE	FALSE	FALSE	RPMI	#388ECC	0.0488925841592808
EW031_RS10900	0.193805683008958	0.0677332335008859	TRUE	FALSE	FALSE	RPMI	#388ECC	-0.048793456307086
EW031_RS08565	0.524285320408833	-0.0965194041621731	TRUE	FALSE	FALSE	RPMI	#388ECC	-0.0483271563008072
EW031_RS00205	0.660052790456709	-0.58874294730779	TRUE	FALSE	FALSE	RPMI	#388ECC	0.0480953977737978
EW031_RS11655	0.28509116067291	-0.641134780227019	TRUE	FALSE	FALSE	RPMI	#388ECC	0.0477293859543634
EW031_RS07240	-0.298839421817481	0.305584259895758	FALSE	TRUE	FALSE	Sera	#F68B33	-0.0476764654588236
EW031_RS08060	-0.193525166799084	0.477311688830267	FALSE	TRUE	FALSE	Sera	#F68B33	-0.0476005402932289
EW031_RS09245	-0.533400718068673	0.724746369823702	FALSE	TRUE	FALSE	Sera	#F68B33	-0.047139868548759
EW031_RS11395	-0.237554500586633	0.672003267480549	FALSE	TRUE	FALSE	Sera	#F68B33	-0.0466445235937399
EW031_RS05555	-0.697989349438756	0.448928891264347	FALSE	TRUE	FALSE	Sera	#F68B33	0.0466023711975451
EW031_RS10735	-0.204543778365041	0.00683658786348204	FALSE	TRUE	FALSE	Sera	#F68B33	0.0465119460728578
EW031_RS05965	0.424235743125669	-0.356191636620177	TRUE	FALSE	FALSE	RPMI	#388ECC	0.0464656905992159
